Date,Hour,Appliance Category,Hardware Model,Watts
2024-01-01,2,Kitchen Appliance,Samsung Smart Microwave,1232
2024-01-02,10,Electronics,Samsung Galaxy Book,182
2024-01-02,7,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,216
2024-01-02,18,Electronics,Samsung 45W Fast Charger,11
2024-01-01,21,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,210
2024-01-02,16,Television,Samsung 65-inch Neo QLED 4K TV,157
2024-01-02,2,Refrigerator,Samsung Bespoke AI Refrigerator,158
2024-01-01,2,Electronics,Samsung 45W Fast Charger,7
2024-01-01,13,Room Heater,Samsung Smart Heater,312
2024-01-02,15,Room Heater,Samsung Smart Heater,366
2024-01-01,0,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,179
2024-01-02,13,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,284
2024-01-01,22,Lighting,Philips Hue Smart LED,20
2024-01-01,3,Water Heater,Rheem ProTerra Hybrid Smart Heater,2822
2024-01-03,1,Room Heater,Samsung Smart Heater,213
2024-01-02,9,Television,Samsung 65-inch Neo QLED 4K TV,209
2024-01-02,8,Electronics,Samsung 45W Fast Charger,13
2024-01-02,6,Kitchen Appliance,Samsung Smart Oven,350
2024-01-01,1,Refrigerator,Samsung Bespoke AI Refrigerator,116
2024-01-01,8,Washing Machine,Samsung Front Load Washer,549
2024-01-02,22,Lighting,Philips Hue Smart LED,66
2024-01-03,1,Lighting,Philips Hue Smart LED,34
2024-01-02,16,Electronics,Samsung Galaxy Book,208
2024-01-02,11,Electronics,Samsung 45W Fast Charger,10
2024-01-02,23,Electronics,Samsung 45W Fast Charger,3
2024-01-01,20,Lighting,Philips Hue Smart LED,39
2024-01-01,13,Refrigerator,Samsung Bespoke AI Refrigerator,157
2024-01-02,19,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,336
2024-01-02,16,Electronics,Samsung 45W Fast Charger,1
2024-01-02,23,Washing Machine,Samsung Front Load Washer,93
2024-01-01,21,Refrigerator,Samsung Bespoke AI Refrigerator,172
2024-01-02,4,Lighting,Philips Hue Smart LED,1
2024-01-02,1,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,1401
2024-01-03,1,Kitchen Appliance,Samsung Smart Microwave,783
2024-01-02,4,Electronics,Samsung 45W Fast Charger,3
2024-01-02,13,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,203
2024-01-02,15,Electronics,Samsung 45W Fast Charger,6
2024-01-01,1,Lighting,Philips Hue Smart LED,6
2024-01-01,23,Electronics,Samsung Galaxy Book,34
2024-01-02,6,Lighting,Philips Hue Smart LED,22
2024-01-02,23,Television,Samsung 65-inch Neo QLED 4K TV,28
2024-01-02,11,Television,Samsung 65-inch Neo QLED 4K TV,178
2024-01-01,12,Kitchen Appliance,Samsung Smart Microwave,1401
2024-01-01,13,Television,Samsung 65-inch Neo QLED 4K TV,10
2024-01-01,17,Lighting,Philips Hue Smart LED,82
2024-01-02,15,Refrigerator,Samsung Bespoke AI Refrigerator,84
2024-01-01,19,Electronics,Samsung 45W Fast Charger,1
2024-01-01,15,Electronics,Samsung Galaxy Book,174
2024-01-01,10,Electronics,Samsung 45W Fast Charger,2
2024-01-01,4,Electronics,Samsung Galaxy Book,51
2024-01-01,23,Water Heater,Rheem ProTerra Hybrid Smart Heater,3528
2024-01-02,10,Room Heater,Samsung Smart Heater,424
2024-01-02,19,Lighting,Philips Hue Smart LED,65
2024-01-02,3,Kitchen Appliance,Samsung Smart Dishwasher,200
2024-01-02,8,Refrigerator,Samsung Bespoke AI Refrigerator,164
2024-01-02,14,Electronics,Samsung Galaxy Book,202
2024-01-02,15,Water Heater,Rheem ProTerra Hybrid Smart Heater,3481
2024-01-01,5,Television,Samsung 65-inch Neo QLED 4K TV,22
2024-01-02,21,Television,Samsung 65-inch Neo QLED 4K TV,122
2024-01-02,18,Electronics,Samsung 45W Fast Charger,3
2024-01-02,14,Kitchen Appliance,Samsung Smart Oven,291
2024-01-01,16,Lighting,Philips Hue Smart LED,86
2024-01-02,3,Electronics,Samsung 45W Fast Charger,11
2024-01-01,7,Electronics,Samsung Galaxy Book,257
2024-01-01,15,Lighting,Philips Hue Smart LED,53
2024-01-02,13,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,294
2024-01-01,3,Lighting,Philips Hue Smart LED,2
2024-01-01,3,Water Heater,Rheem ProTerra Hybrid Smart Heater,1278
2024-01-02,7,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,231
2024-01-02,2,Room Heater,Samsung Smart Heater,452
2024-01-01,23,Electronics,Samsung 45W Fast Charger,9
2024-01-03,1,Electronics,Samsung 45W Fast Charger,4
2024-01-01,20,Television,Samsung 65-inch Neo QLED 4K TV,83
2024-01-02,20,Electronics,Samsung 45W Fast Charger,1
2024-01-02,3,Kitchen Appliance,Samsung Smart Microwave,206
2024-01-02,4,Electronics,Samsung 45W Fast Charger,1
2024-01-01,21,Electronics,Samsung 45W Fast Charger,5
2024-01-02,13,Washing Machine,Samsung Front Load Washer,257
2024-01-02,1,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,57
2024-01-01,20,Electronics,Samsung 45W Fast Charger,1
2024-01-01,4,Refrigerator,Samsung Bespoke AI Refrigerator,142
2024-01-01,2,Lighting,Philips Hue Smart LED,2
2024-01-01,9,Refrigerator,Samsung Bespoke AI Refrigerator,159
2024-01-01,7,Washing Machine,Samsung Front Load Washer,547
2024-01-01,11,Lighting,Philips Hue Smart LED,43
2024-01-02,21,Television,Samsung 65-inch Neo QLED 4K TV,161
2024-01-01,5,Television,Samsung 65-inch Neo QLED 4K TV,120
2024-01-01,6,Electronics,Samsung 45W Fast Charger,1
2024-01-01,1,Electronics,Samsung Galaxy Book,124
2024-01-01,20,Lighting,Philips Hue Smart LED,51
2024-01-02,14,Refrigerator,Samsung Bespoke AI Refrigerator,164
2024-01-02,18,Television,Samsung 65-inch Neo QLED 4K TV,126
2024-01-02,14,Room Heater,Samsung Smart Heater,415
2024-01-01,6,Kitchen Appliance,Samsung Smart Oven,2734
2024-01-01,4,Refrigerator,Samsung Bespoke AI Refrigerator,139
2024-01-02,13,Water Heater,Rheem ProTerra Hybrid Smart Heater,2488
2024-01-02,15,Lighting,Philips Hue Smart LED,62
2024-01-02,1,Lighting,Philips Hue Smart LED,60
2024-01-02,15,Washing Machine,Samsung Front Load Washer,191
2024-01-02,7,Water Heater,Rheem ProTerra Hybrid Smart Heater,2460
2024-01-01,14,Lighting,Philips Hue Smart LED,2
2024-01-01,19,Kitchen Appliance,Samsung Smart Oven,1735
2024-01-01,3,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,95
2024-01-02,19,Washing Machine,Samsung Front Load Washer,458
2024-01-02,19,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,122
2024-01-01,15,Room Heater,Samsung Smart Heater,1568
2024-01-01,12,Kitchen Appliance,Samsung Smart Oven,1760
2024-01-01,0,Refrigerator,Samsung Bespoke AI Refrigerator,166
2024-01-01,23,Television,Samsung 65-inch Neo QLED 4K TV,9
2024-01-02,16,Lighting,Philips Hue Smart LED,84
2024-01-02,3,Electronics,Samsung 45W Fast Charger,5
2024-01-02,19,Kitchen Appliance,Samsung Smart Dishwasher,1185
2024-01-01,3,Lighting,Philips Hue Smart LED,16
2024-01-01,23,Kitchen Appliance,Samsung Smart Microwave,100
2024-01-01,9,Lighting,Philips Hue Smart LED,12
2024-01-03,1,Electronics,Samsung Galaxy Book,23
2024-01-02,16,Kitchen Appliance,Samsung Smart Dishwasher,209
2024-01-01,15,Lighting,Philips Hue Smart LED,46
2024-01-02,20,Lighting,Philips Hue Smart LED,64
2024-01-01,21,Television,Samsung 65-inch Neo QLED 4K TV,88
2024-01-01,16,Refrigerator,Samsung Bespoke AI Refrigerator,152
2024-01-01,16,Refrigerator,Samsung Bespoke AI Refrigerator,143
2024-01-01,2,Room Heater,Samsung Smart Heater,240
2024-01-01,20,Refrigerator,Samsung Bespoke AI Refrigerator,150
2024-01-01,0,Kitchen Appliance,Samsung Smart Oven,302
2024-01-02,21,Refrigerator,Samsung Bespoke AI Refrigerator,118
2024-01-03,1,Television,Samsung 65-inch Neo QLED 4K TV,80
2024-01-02,7,Room Heater,Samsung Smart Heater,450
2024-01-03,1,Electronics,Samsung 45W Fast Charger,6
2024-01-02,0,Kitchen Appliance,Samsung Smart Microwave,195
2024-01-02,18,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,1606
2024-01-01,22,Television,Samsung 65-inch Neo QLED 4K TV,98
2024-01-02,20,Refrigerator,Samsung Bespoke AI Refrigerator,151
2024-01-02,7,Washing Machine,Samsung Front Load Washer,617
2024-01-01,17,Television,Samsung 65-inch Neo QLED 4K TV,105
2024-01-02,22,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,299
2024-01-02,7,Refrigerator,Samsung Bespoke AI Refrigerator,108
2024-01-01,12,Kitchen Appliance,Samsung Smart Microwave,869
2024-01-02,17,Kitchen Appliance,Samsung Smart Oven,2235
2024-01-01,19,Washing Machine,Samsung Front Load Washer,466
2024-01-02,17,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,409
2024-01-01,17,Refrigerator,Samsung Bespoke AI Refrigerator,130
2024-01-02,9,Lighting,Philips Hue Smart LED,7
2024-01-02,13,Electronics,Samsung 45W Fast Charger,7
2024-01-02,6,Room Heater,Samsung Smart Heater,2084
2024-01-01,21,Refrigerator,Samsung Bespoke AI Refrigerator,168
2024-01-01,18,Kitchen Appliance,Samsung Smart Dishwasher,871
2024-01-02,23,Television,Samsung 65-inch Neo QLED 4K TV,134
2024-01-02,23,Kitchen Appliance,Samsung Smart Oven,1823
2024-01-01,5,Electronics,Samsung Galaxy Book,84
2024-01-02,15,Washing Machine,Samsung Front Load Washer,84
2024-01-01,17,Lighting,Philips Hue Smart LED,46
2024-01-02,22,Lighting,Philips Hue Smart LED,56
2024-01-01,19,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,139
2024-01-02,23,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,221
2024-01-01,9,Electronics,Samsung 45W Fast Charger,1
2024-01-02,7,Electronics,Samsung Galaxy Book,20
2024-01-02,0,Room Heater,Samsung Smart Heater,152
2024-01-02,12,Refrigerator,Samsung Bespoke AI Refrigerator,153
2024-01-02,5,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,632
2024-01-01,2,Washing Machine,Samsung Front Load Washer,74
2024-01-01,7,Room Heater,Samsung Smart Heater,501
2024-01-02,11,Electronics,Samsung Galaxy Book,273
2024-01-01,17,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,333
2024-01-01,6,Electronics,Samsung 45W Fast Charger,7
2024-01-02,20,Lighting,Philips Hue Smart LED,88
2024-01-02,20,Electronics,Samsung Galaxy Book,86
2024-01-01,20,Kitchen Appliance,Samsung Smart Oven,1948
2024-01-02,8,Lighting,Philips Hue Smart LED,10
2024-01-02,19,Television,Samsung 65-inch Neo QLED 4K TV,127
2024-01-01,12,Room Heater,Samsung Smart Heater,86
2024-01-01,8,Water Heater,Rheem ProTerra Hybrid Smart Heater,2800
2024-01-02,15,Lighting,Philips Hue Smart LED,12
2024-01-01,10,Lighting,Philips Hue Smart LED,2
2024-01-01,4,Washing Machine,Samsung Front Load Washer,52
2024-01-02,3,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,1439
2024-01-01,15,Electronics,Samsung 45W Fast Charger,10
2024-01-01,13,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,480
2024-01-01,10,Refrigerator,Samsung Bespoke AI Refrigerator,134
2024-01-01,13,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,1555
2024-01-01,0,Kitchen Appliance,Samsung Smart Microwave,179
2024-01-01,3,Room Heater,Samsung Smart Heater,59
2024-01-03,0,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,230
2024-01-02,16,Kitchen Appliance,Samsung Smart Oven,218
2024-01-02,6,Electronics,Samsung 45W Fast Charger,4
2024-01-01,21,Television,Samsung 65-inch Neo QLED 4K TV,111
2024-01-02,11,Lighting,Philips Hue Smart LED,39
2024-01-03,0,Refrigerator,Samsung Bespoke AI Refrigerator,128
2024-01-01,13,Air Conditioner,Samsung 1.5 Ton Bespoke AI WindFree AC,229
2024-01-01,3,Electronics,Samsung 45W Fast Charger,1
2024-01-01,5,Washing Machine,Samsung Front Load Washer,102
2024-01-01,19,Room Heater,Samsung Smart Heater,987
2024-01-01,8,Room Heater,Samsung Smart Heater,287
2024-01-02,6,Lighting,Philips Hue Smart LED,40
2024-01-01,16,Kitchen Appliance,Samsung Smart Oven,598
2024-01-01,11,Water Heater,Rheem ProTerra Hybrid Smart Heater,2959
2024-01-01,10,Kitchen Appliance,Samsung Smart Dishwasher,1552
2024-01-01,20,Electronics,Samsung Galaxy Book,398
2024-01-01,12,Water Heater,Rheem ProTerra Hybrid Smart Heater,4116
2024-01-03,0,Refrigerator,Samsung Bespoke AI Refrigerator,174
2024-01-02,22,Electronics,Samsung 45W Fast Charger,11
2024-01-01,9,Television,Samsung 65-inch Neo QLED 4K TV,137
2024-01-02,16,Refrigerator,Samsung Bespoke AI Refrigerator,126
2024-01-01,2,Lighting,Philips Hue Smart LED,8
